partner center 会社名,customer book 会社名,サブスクリプションID,M365 プラン,契約名,妥当性
大和ハウス工業株式会社,"DAIWA HOUSE INDUSTRY CO., LTD.",3333-1111,M365 Business Premium,契約A,True
Sony株式会社,ソニー株式会社,3333-1112,M365 Business Premium,契約B,True
トヨタ自動車株式会社,Toyota,3333-1113,M365 Business Premium,契約C,True
株式会社日立製作所,Hitachi,3333-1114,M365 Business Premium,契約D,True
三菱商事株式会社,Mitsubishi Corporation,3333-1115,M365 Business Premium,契約E,True
株式会社パナソニック,Panasonic Corporation,3333-1116,M365 Business Premium,契約F,True
株式会社シャープ,Sharp Corporation,3333-1117,M365 Business Premium,契約G,True
株式会社ホンダ,"Honda Motor Co., Ltd.",3333-1118,M365 Business Premium,契約H,True
株式会社富士通,Fujitsu Japan Limited,3333-1119,M365 Business Premium,契約I,False
株式会社リコー,Nicon Corporation,3333-1120,M365 Business Premium,契約J,False
