partner center 会社名,customer book 会社名,サブスクリプションID,M365 プラン,契約名,妥当性
株式会社M-TEC,株式会社M-TEC本社・工場,6666-1111,M365 Enterprise E3,契約A,True
株式会社西日本システム,株式会社西日本システム東京支社,6666-1112,M365 Enterprise E3,契約B,True
株式会社ABC,株式会社ABC営業部,6666-1113,M365 Enterprise E3,契約C,True
株式会社東日本エレクトロニクス,株式会社東日本エレクトロニクス (EJE),6666-1114,M365 Enterprise E3,契約D,True
株式会社リクルートホールディングス,リクルート,6666-1115,M365 Enterprise E3,契約E,True
有限会社イー・マーキュリー,株式会社ミクシィ,6666-1116,M365 Enterprise E3,契約F,True
株式会社XYZ,株式会社ABC,6666-1117,M365 Enterprise E3,契約G,False
株式会社ソニー,ソニー・インタラクティブエンタテインメント,6666-1118,M365 Enterprise E3,契約H,False
株式会社日立製作所,日立ソリューションズ,6666-1119,M365 Enterprise E3,契約I,False
AWS Japan,株式会社AWS,6666-1120,M365 Enterprise E3,契約J,False
