会社名,契約名,サブスクリプションID,M365 プラン
"DAIWA HOUSE INDUSTRY CO., LTD.",契約A,3333-1111,M365 Business Premium
ソニー株式会社,契約B,3333-1112,M365 Business Premium
Toyota,契約C,3333-1113,M365 Business Premium
Hitachi,契約D,3333-1114,M365 Business Premium
Mitsubishi Corporation,契約E,3333-1115,M365 Business Premium
Panasonic Corporation,契約F,3333-1116,M365 Business Premium
Sharp Corporation,契約G,3333-1117,M365 Business Premium
"Honda Motor Co., Ltd.",契約H,3333-1118,M365 Business Premium
Fujitsu Japan Limited,契約I,3333-1119,M365 Business Premium
Nicon Corporation,契約J,3333-1120,M365 Business Premium
