partner center 会社名,customer book 会社名,サブスクリプションID,妥当性_predicted,妥当性_true
T&Dリスクソリューションズ株式会社,T&Dリスクソリューションズ,4444-1111,5,True
株式会社ミツビシ電機,ミツビシ電機,4444-1112,5,True
トヨタ自動車株式会社,トヨタ自動車,4444-1113,5,True
ソニー株式会社,ソニー,4444-1114,5,True
株式会社日立製作所,日立製作所,4444-1115,5,True
パナソニック株式会社,パナソニック,4444-1116,5,True
株式会社シャープ,シャープ,4444-1117,5,True
株式会社ホンダ,ホンダ,4444-1118,5,True
富士通株式会社,日産,4444-1119,1,False
リコー株式会社,リコーテック,4444-1120,2,False
株式会社九州電子,株式会社 九州電子,1111-1111,5,True
株式会社ICテクノロジーズ,株式会社 IC テクノロジーズ,1111-1112,5,True
株式会社夢組,株式会社 夢組,1111-1113,5,True
株式会社ソフトウェアサービス,株式会社ソフト ウェア サービス,1111-1114,5,True
株式会社イーシステム,株式会社 イーシステム,1111-1115,5,True
株式会社ニューウェーブ,株式会社ニュー ウェーブ,1111-1116,5,True
株式会社アーステック,株式会社 アース テック,1111-1117,5,True
株式会社サンライズ,株式会社サン ライズ,1111-1118,5,True
株式会社グリーンテック,株式会社ブルースカイテック,1111-1119,1,False
株式会社サンテック,株式会社サンライズテック,1111-1120,1,False
株式会社福島中央テレビ,FCT.jp,5555-1111,5,True
株式会社日本放送協会,NHK,5555-1112,5,True
株式会社東京放送ホールディングス,TBS,5555-1113,5,True
株式会社株式会社野村総合研究所,NRI,5555-1114,4,True
株式会社テレビ朝日,EX,5555-1115,3,True
株式会社東日本旅客鉄道株式会社,JR東,5555-1116,5,True
株式会社フジテレビジョン,Fuji TV,5555-1117,5,True
株式会社読売新聞社,Yomiuri,5555-1118,4,True
野村證券株式会社,NRI,5555-1119,1,False
株式会社博報堂,ADK,5555-1120,1,False
合同会社ＡｌｌＲｉｇｈｔ,合同会社AllRight,2222-1111,5,True
株式会社テクノロジーズ１２３,株式会社テクノロジーズ123,2222-1112,5,True
株式会社Ｔｅｃｈｎｏｌｏｇｙ,株式会社Technology,2222-1113,5,True
株式会社ＰＲＥＭＩＵＭ　ＳＥＲＶＩＣＥ,株式会社PREMIUMSERVICE,2222-1114,5,True
株式会社ｲﾝﾀｰﾈｯﾄ,株式会社インターネット,2222-1115,5,True
株式会社ｸﾞﾛｰﾊﾞﾙｳｪｰﾌﾞ,株式会社グローバルウェーブ,2222-1116,5,True
株式会社アドバンス,株式会社アドバンス,2222-1117,5,True
株式会社ｓｔ０９２,株式会社st092,2222-1118,5,True
株式会社Ｓｉｌｖｅｒ　Ｂｌａｃｋs,株式会社Silver Black,2222-1119,5,False
株式会社サンセット,株式会社サンセットテック,2222-1120,2,False
大和ハウス工業株式会社,"DAIWA HOUSE INDUSTRY CO., LTD.",3333-1111,5,True
Sony株式会社,ソニー株式会社,3333-1112,5,True
トヨタ自動車株式会社,Toyota,3333-1113,5,True
株式会社日立製作所,Hitachi,3333-1114,4,True
三菱商事株式会社,Mitsubishi Corporation,3333-1115,5,True
株式会社パナソニック,Panasonic Corporation,3333-1116,5,True
株式会社シャープ,Sharp Corporation,3333-1117,5,True
株式会社ホンダ,"Honda Motor Co., Ltd.",3333-1118,5,True
株式会社富士通,Fujitsu Japan Limited,3333-1119,5,False
株式会社リコー,Nicon Corporation,3333-1120,1,False
株式会社M-TEC,株式会社M-TEC本社・工場,6666-1111,5,True
株式会社西日本システム,株式会社西日本システム東京支社,6666-1112,5,True
株式会社ABC,株式会社ABC営業部,6666-1113,5,True
株式会社東日本エレクトロニクス,株式会社東日本エレクトロニクス (EJE),6666-1114,5,True
株式会社リクルートホールディングス,リクルート,6666-1115,4,True
有限会社イー・マーキュリー,株式会社ミクシィ,6666-1116,1,True
株式会社XYZ,株式会社ABC,6666-1117,1,False
株式会社ソニー,ソニー・インタラクティブエンタテインメント,6666-1118,2,False
株式会社日立製作所,日立ソリューションズ,6666-1119,2,False
AWS Japan,株式会社AWS,6666-1120,4,False
